constituency,region,country,2019_winner,2019_majority,turnout,con_2019,con_%_2019,lab_2019,lab_%_2019,ld_2019,ld_%_2019,grn_2019,grn_%_2019,ref_2019,ref_2019_%,snp_2019,snp_2019_%,pc_2019,pc_2019_%,other_2019,other_2019_%,2019_total,,,,
Aldershot,SE,England,Con,17985,67.5,29453,57%,11468,22%,9068,17%,1839,4%,334,1%,0,0%,0,0%,0,0%,51828,,,,
Aldridge-Brownhills,WM,England,Con,22758,64.7,32941,70%,10183,22%,2654,6%,873,2%,334,1%,0,0%,0,0%,336,1%,47321,,,,
Altrincham and Sale West,NW,England,Con,6139,74.1,26311,48%,20172,37%,6036,11%,1566,3%,0,0%,0,0%,0,0%,678,1%,54763,,,,
Amber Valley,EM,England,Con,16891,64.6,29118,64%,12227,27%,2875,6%,1389,3%,0,0%,0,0%,0,0%,0,0%,45609,,,,
Arundel and South Downs,SE,England,Con,24105,75.5,35117,60%,9108,16%,11012,19%,2312,4%,0,0%,0,0%,0,0%,556,1%,58105,,,,
Ashfield,EM,England,Con,5303,61.5,16838,39%,10986,26%,890,2%,563,1%,2137,5%,0,0%,0,0%,11535,27%,42949,,,,
Ashford,SE,England,Con,17211,66.1,28759,59%,11548,24%,5176,11%,2234,5%,0,0%,0,0%,0,0%,862,2%,48579,,,,
Ashton-under-Lyne,NW,England,Lab,4689,57.2,14978,36%,19667,48%,1774,4%,1440,3%,3518,9%,0,0%,0,0%,0,0%,41377,,,,
Aylesbury,SE,England,Con,16640,76.5,29924,52%,13284,23%,12670,22%,1701,3%,309,1%,0,0%,0,0%,0,0%,57888,,,,
Banbury,SE,England,Con,13799,72.6,26397,52%,12598,25%,10335,20%,1480,3%,0,0%,0,0%,0,0%,0,0%,50810,,,,
Barking,GL,England,Lab,13993,57.1,11003,27%,24996,61%,1356,3%,750,2%,2914,7%,0,0%,0,0%,0,0%,41019,,,,
Barnsley North,YH,England,Lab,4002,57.9,10663,24%,17141,39%,1588,4%,1051,2%,13139,30%,0,0%,0,0%,898,2%,44480,,,,
Barnsley South,YH,England,Lab,"4,720",49.4,8497,23%,15684,42%,1311,3%,773,2%,10964,29%,0,0%,0,0%,279,1%,"37,508",,,,
Barrow and Furness,NW,England,Con,7436,65.3,26551,53%,19115,38%,2256,5%,770,2%,1355,3%,0,0%,0,0%,0,0%,50047,,,,
Basildon and Billericay,EE,England,Con,20749,60.9,30867,66%,10118,22%,3947,8%,1395,3%,0,0%,0,0%,0,0%,526,1%,46853,,,,
Basingstoke,SE,England,Con,12301,66.4,26966,53%,14665,29%,6797,13%,2007,4%,0,0%,0,0%,0,0%,746,1%,51181,,,,
Bassetlaw,EM,England,Con,12588,62.9,25941,54%,13353,28%,3210,7%,0,0%,5173,11%,0,0%,0,0%,0,0%,47677,,,,
Bath,SW,England,LD,12125,77.7,18251,32%,7120,13%,30376,53%,146,0%,642,1%,0,0%,0,0%,341,1%,56876,,,,
Battersea,GL,England,Lab,6026,76.3,19431,35%,25457,46%,8316,15%,1364,2%,350,1%,0,0%,0,0%,0,0%,54918,,,,
Beaconsfield,SE,England,Con,13772,72.8,29211,55%,5211,10%,0,0%,1935,4%,0,0%,0,0%,0,0%,16276,31%,52633,,,,
Beckenham and Penge,GL,England,Lab,631,78.5,23487,39%,24118,40%,9657,16%,2416,4%,464,1%,0,0%,0,0%,0,0%,60142,,,,
Bedford,EE,England,Lab,1113,66.5,19550,42%,20663,44%,4672,10%,924,2%,794,2%,0,0%,0,0%,0,0%,46603,,,,
Bermondsey and Old Southwark,GL,England,Lab,8515,65,7710,17%,22776,50%,14261,31%,25,0%,1113,2%,0,0%,0,0%,0,0%,45885,,,,
Bethnal Green and Stepney,GL,England,Lab,31655,64.9,5065,10%,36720,74%,4634,9%,2101,4%,992,2%,0,0%,0,0%,439,1%,49951,,,,
Beverley and Holderness,YH,England,Con,17976,69.6,30179,61%,12203,25%,4579,9%,1234,2%,0,0%,0,0%,0,0%,1288,3%,49483,,,,
Bexhill and Battle,SE,England,Con,20384,70.2,30716,62%,10332,21%,6658,13%,2031,4%,0,0%,0,0%,0,0%,0,0%,49737,,,,
Bexleyheath and Crayford,GL,England,Con,15038,67.6,28750,61%,13712,29%,2832,6%,1070,2%,416,1%,0,0%,0,0%,520,1%,47300,,,,
Bicester and Woodstock,SE,England,Con,14205,73.9,28030,54%,8762,17%,13825,27%,1225,2%,149,0%,0,0%,0,0%,0,0%,51991,,,,
Birkenhead,NW,England,Lab,22993,67.9,8063,16%,31056,60%,2062,4%,1552,3%,1744,3%,0,0%,0,0%,7285,14%,51762,,,,
Birmingham Edgbaston,WM,England,Lab,7691,63.9,16167,35%,23858,52%,3306,7%,1172,3%,1096,2%,0,0%,0,0%,0,0%,45599,,,,
Birmingham Erdington,WM,England,Lab,3305,54,17213,41%,20518,49%,1349,3%,746,2%,1673,4%,0,0%,0,0%,0,0%,41499,,,,
Birmingham Hall Green and Moseley,WM,England,Lab,26507,68.3,7772,15%,34279,66%,3703,7%,869,2%,997,2%,0,0%,0,0%,4119,8%,51739,,,,
Birmingham Hodge Hill and Solihull North,WM,England,Lab,12951,53.7,11793,29%,24744,60%,1788,4%,1441,3%,1271,3%,0,0%,0,0%,257,1%,41294,,,,
Birmingham Ladywood,WM,England,Lab,32583,58.2,4381,10%,36964,83%,1233,3%,823,2%,980,2%,0,0%,0,0%,154,0%,44535,,,,
Birmingham Northfield,WM,England,Con,1478,59.5,20135,46%,18657,43%,2013,5%,972,2%,1661,4%,0,0%,0,0%,254,1%,43692,,,,
Birmingham Perry Barr,WM,England,Lab,22325,63.4,9582,20%,31907,68%,3062,7%,883,2%,1333,3%,0,0%,0,0%,148,0%,46915,,,,
Birmingham Selly Oak,WM,England,Lab,11645,63.4,15291,32%,26936,56%,3018,6%,1783,4%,1319,3%,0,0%,0,0%,0,0%,48347,,,,
Birmingham Yardley,WM,England,Lab,13141,58.3,11208,27%,24349,58%,3743,9%,503,1%,2103,5%,0,0%,0,0%,0,0%,41906,,,,
Bishop Auckland,NE,England,Con,8113,69.9,26239,53%,18126,37%,1782,4%,300,1%,2739,6%,0,0%,0,0%,325,1%,49511,,,,
Blackburn,NW,England,Lab,18616,61.8,10182,23%,28798,66%,1058,2%,698,2%,2590,6%,0,0%,0,0%,319,1%,43645,,,,
Blackley and Middleton South,NW,England,Lab,11558,52.6,10599,28%,22157,59%,1130,3%,764,2%,2898,8%,0,0%,0,0%,0,0%,37548,,,,
Blackpool North and Fleetwood,NW,England,Con,10119,66.4,27946,56%,17827,36%,2020,4%,954,2%,858,2%,0,0%,0,0%,443,1%,50048,,,,
Blackpool South,NW,England,Con,3700,55.8,20715,49%,17015,40%,1497,4%,810,2%,2009,5%,0,0%,0,0%,368,1%,42414,,,,
Blaydon and Consett,NE,England,Lab,4285,66.9,16371,35%,20656,44%,2146,5%,1421,3%,4555,10%,0,0%,0,0%,1816,4%,46965,,,,
Blyth and Ashington,NE,England,Lab,6118,57,14382,33%,20500,48%,2761,6%,1248,3%,3921,9%,0,0%,0,0%,178,0%,42990,,,,
Bognor Regis and Littlehampton,SE,England,Con,22682,68.2,32645,62%,9963,19%,6978,13%,1711,3%,0,0%,0,0%,0,0%,1213,2%,52510,,,,
Bolsover,EM,England,Con,5273,61.2,21792,48%,16519,36%,1741,4%,717,2%,3920,9%,0,0%,0,0%,987,2%,45676,,,,
Bolton North East,NW,England,Con,1278,64.7,22436,45%,21158,42%,2188,4%,803,2%,3259,7%,0,0%,0,0%,0,0%,49844,,,,
Bolton South and Walkden,NW,England,Lab,10929,58.1,13961,32%,24890,57%,1695,4%,1077,2%,2361,5%,0,0%,0,0%,0,0%,43984,,,,
Bolton West,NW,England,Con,10619,69.1,28197,57%,17578,35%,2815,6%,893,2%,385,1%,0,0%,0,0%,0,0%,49868,,,,
Bootle,NW,England,Lab,34556,65.4,4510,9%,39066,79%,1822,4%,1166,2%,2610,5%,0,0%,0,0%,0,0%,49174,,,,
Boston and Skegness,EM,England,Con,27402,59.4,34406,76%,7004,16%,2180,5%,0,0%,0,0%,0,0%,0,0%,1428,3%,45018,,,,
Bournemouth East,SW,England,Con,8817,67.4,24957,51%,16140,33%,5418,11%,2052,4%,0,0%,0,0%,0,0%,761,2%,49328,,,,
Bournemouth West,SW,England,Con,9941,63.5,24512,54%,14571,32%,4603,10%,2066,5%,0,0%,0,0%,0,0%,0,0%,45752,,,,
Bracknell,SE,England,Con,14129,66.7,26022,55%,11893,25%,6555,14%,1865,4%,0,0%,0,0%,0,0%,553,1%,46888,,,,
Bradford East,YH,England,Lab,17761,59.6,9344,22%,27105,63%,3302,8%,638,1%,2647,6%,0,0%,0,0%,0,0%,43036,,,,
Bradford South,YH,England,Lab,2729,57.7,16381,40%,19110,47%,1519,4%,1007,2%,2872,7%,0,0%,0,0%,0,0%,40889,,,,
Bradford West,YH,England,Lab,27019,62.1,6717,15%,33736,76%,1349,3%,813,2%,1556,4%,0,0%,0,0%,90,0%,44261,,,,
Braintree,EE,England,Con,25466,68.3,34863,67%,9397,18%,5013,10%,233,0%,0,0%,0,0%,0,0%,2169,4%,51675,,,,
Brent East,GL,England,Lab,17756,58,10344,24%,28100,64%,3972,9%,1426,3%,175,0%,0,0%,0,0%,0,0%,44017,,,,
Brent West,GL,England,Lab,9431,63.3,16361,34%,25792,53%,4408,9%,826,2%,750,2%,0,0%,0,0%,270,1%,48407,,,,
