,Conservative Candidate,Labour Candidate,Lib Dem Candidate,Reform UK Candidate,Green Candidate,SNP Candidate,Plaid Cymru Candidate,Other Candidates
Aberafan Maesteg,Abigail Mainon,Stephen Kinnock,Justin Mark Griffiths,Mark Griffiths,Nigel Hill,,Colin John Deere,"['Captain Beany', 'Rhiannon Morrissey']"
Aberdeen North,Gillian Tebberen,Lynn Thomson,Desmond Bouse,Kenneth Leggat,Esme Houston,Kirsty Blackman,,"['Charlie Abel', 'Lucas Grant', 'Dawn Smith']"
Aberdeenshire North and Moray East,Douglas Gordon Ross,Andy Brown,Ian Bailey,Jo Hart,,Seamus Logan,,[]
Aberdeen South,John Wheeler,M. Tauqeer Malik,Jeff Goodhall,Michael Pearce,Guy Ingerson,Stephen Flynn,,"['Graeme Craib', 'Sophie Molly']"
Airdrie and Shotts,Alexandra Herdman,Kenneth Stevenson,Lewis Younie,David Hall,,Anum Qaisar,,"['John Jo Leckie', 'Josh Robertson']"
Aldershot,Leo Docherty,Alex Baker,Paul Harris,Trevor Lloyd-Jones,Edward John Neville,,,['Steve James-Bailey']
Aldridge-Brownhills,Wendy Morton,Luke John Davies,Ian Garrett,Graham Eardley,Clare Nash,,,[]
Alloa and Grangemouth,Rachel Nunn,Brian Leishman,Adrian May,Richard Fairley,Nariese Whyte,John Nicolson,,"['Eva Comrie', 'Tom Flanagan', 'Kenny MacAskill']"
Altrincham and Sale West,Oliver Carroll,Connor Rand,Jane Brophy,Paul James Swansborough,Geraldine Coggins,,,['Faisal Kabir']
Alyn and Deeside,Jeremy Kent,Mark Tami,Richard Marbrow,Vicki Roskams,Karl Macnaughton,,Jack Morris,['Edwin Duggan']
Amber Valley,Nigel Mills,Linsey Farnsworth,Kate Smith,Alex Stevenson,Matt McGuinness,,,[]
Angus and Perthshire Glens,Stephen Charles  Kerr,Elizabeth Carr-Ellis,Claire Margaret McLaren,Kenneth Morton,,Dave Doogan,,['Dan Peña']
Arbroath and Broughty Ferry,Richard John Brooks,Cheryl-Ann Cruickshank,David Ronald Evans,Gwen Wood,,Stephen Patrick Gethins,,"['Moira Macpherson Brown', 'Ghazi Khan']"
"Argyll, Bute and South Lochaber",Amanda Jane Hargreaves Hampsey,Hamish Maxwell,Alan Reid,Melanie Hurst,,Brendan O'Hara,,['Tommy Macpherson']
Arundel and South Downs,Andrew Griffith,Chris Philipsborn,Richard James Allen,David Thomas,Steve McAuliffe,,,['Mike Smith']
Ashfield,Debbie Soloman,Rhea Keehn,Daniel Holmes,Lee Anderson,Alexander Coates,,,['Jason Zadrozny']
Ashford,Damian Howard Green,Sojan Joseph,Adam James Rowledge,Tristram John Kennedy Harper,Mandy Rossi,,,['James Gordon Ransley']
Ashton-under-Lyne,Lizzie Hacking,Angela Rayner,Dominic FT Hardwick,Robert Barrowcliffe,Lee Alan Huntbach,,,['Aroma Hassan']
Aylesbury,Rob Butler,Laura Elizabeth Kyrke-Smith,Steven Lambert,Lesley Ann Taylor,Julie Elizabeth Atkins,,,"['Jan Gajdos', 'Richard Lewis Wilding']"
"Ayr, Carrick and Cumnock",Martin Dowey,Elaine Stewart,Paul Kennedy,Andrew Russell,Korin Matthew Vallance,Allan Dorans,,['Corri Wilson']
Banbury,Victoria Prentis,Sean Woodcock,Elizabeth Adams,Paul Nicholas Topley,Arron John Baker,,,"['Cassi Bellingham', 'Chris Nevile', 'Declan Soper']"
Bangor Aberconwy,Robin Millar,Claire Hughes,Rachael Roberts,John Clark,Petra Haig,,Catrin Elen Wager,"['Kathrine Jones', 'Steve Marshall']"
Barking,Julie Redmond,Nesil Caliskan,Charley Hasted,Clive Peacock,Simon Ronald Anthony,,,"['Muhammad Asim', 'Lucy Baiye-Gaman', 'Dee Dias']"
Barnsley North,Tamas Kovacs,Dan Jarvis,Penny Baker,Robert Lomas,Tom Heyes,,,"['Tony Devoy', 'Neil Fisher', 'Janus Polenceusz']"
Barnsley South,Suzanne Pearson,Stephanie Peacock,Simon Clement-Jones,David White,Trevor Mayne,,,"['Simon David Watson Biltcliffe', 'Terry Robinson', 'Maxine Spencer']"
Barrow and Furness,Simon Fell,Michelle Scrogham,Adrian Waite,Barry Morgan,Lorraine Wrennall,,,['Lisa Morgan']
Basildon and Billericay,Richard John Holden,Alex Harrison,Edward Krishan Sainsbury,Stephen Conlay,Stewart Goshawk,,,"['Christopher David Bateman', 'Dave Murray']"
Basingstoke,Maria Miller,Luke Murphy,Richard Whelan,Ray Saint,Michael Howard-Sorrell,,,['Alan Harvey Stone']
Bassetlaw,Brendan Clarke-Smith,Jo White,Helen Tamblyn-Saville,Frank Ward,Rachel Sara Reeves,,,[]
Bath,James Wright,Daniel Bewley,Wera Hobhouse,Teresa Hall,Dom Tristram,,,"['Matthew Alford', 'A.N.ON', 'Colin David Blackburn', 'Bill Blockhead']"
Bathgate and Linlithgow,Lynn Munro,Kirsteen Sullivan,Sally Pattle,Jamie McNamee,Simon Jay,Martyn Day,,"['John Hannah', 'Stuart James McArthur']"
Battersea,Tom Pridham,Marsha de Cordova,Francis Chubb,Barry Edwards,Joe Taylor,,,"['Georgina Burford-Connole', 'Ed Dampier', 'Dan Smith', 'Jake Thomas']"
Beaconsfield,Joy Morrissey,Matthew Patterson,Anna Victoria Crabtree,John Anthony Sydney Halsall,Dominick Pegram,,,"['Pippa Allen', 'Cole Derek Antony Caesar', 'Catherine Harker']"
Beckenham and Penge,Hannah Gray,Liam Conlon,Chloe-Jane Ross,Edward Apostolides,Ruth Fabricant,,,[]
Bedford,Pinder Jit Chauhan,Mohammad Yasin,Henry Vann,Matt Lansley,Ben Foley,,,"['Sadik Chaudhury', 'Tarek Javed']"
Belfast East,,,,,Brian Smyth,,,"['Séamas de Faoite', 'Naomi Long', 'Ryan North', 'Gavin Robinson', 'John Ross', 'Ryan Warren']"
Belfast North,,,,,Mal O'Hara,,,"['Phillip Brett', 'David Clarke', 'Fiona Ferguson', 'John Finucane', 'Nuala McAllister', 'Carl Whyte']"
Belfast South and Mid Down,,,,,Áine Groogan,,,"['Dan Boucher', 'Claire Hanna', 'Michael Henderson', 'Tracy Kelly', 'Kate Nicholl']"
Belfast West,,,,,Ash Jones,,,"['Gerry Carroll', 'Paul Doherty', 'Gerard Herdman', 'Tony Mallon', 'Paul Maskey', 'Ann McClure', 'Frank McCoubrey', 'Eóin Millar', 'Ben Sharkey']"
