New constituency name,Total population,Number of households,,Aged 15 years and under,Aged 16 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Aged 65 years and over,,United Kingdom,Ireland,Other Europe,Africa,Middle East and Asia,Americas and the Caribbean,Australasia and others,,White British,Other White,Asian / Asian British,Black / Black British,Mixed / Multiple ethnic groups,Other ethnic groups,,No religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,Not answered,,Owned outright,Owned with a mortgage or loan,Private rented,Social rented,Other tenure
England and Wales,"59,597,300","24,782,800",,18.5%,10.6%,13.5%,19.3%,19.5%,18.6%,,83.2%,0.5%,6.4%,2.7%,5.6%,1.3%,0.3%,,74.4%,7.3%,9.3%,4.0%,2.9%,2.1%,,37.2%,46.2%,0.5%,1.7%,0.5%,6.5%,0.9%,0.6%,6.0%,,32.8%,28.7%,20.3%,17.1%,1.1%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberafan Maesteg,"92,600","40,800",,18.6%,9.6%,12.4%,18.0%,20.9%,20.6%,,96.6%,0.3%,1.4%,0.3%,1.1%,0.2%,0.1%,,95.3%,1.6%,1.5%,0.2%,1.1%,0.3%,,52.5%,40.1%,0.3%,0.3%,0.0%,0.8%,0.1%,0.4%,5.5%,,37.0%,27.3%,15.5%,19.9%,0.3%
Aldershot,"117,000","46,200",,18.5%,10.0%,15.8%,20.8%,18.8%,16.1%,,77.8%,0.5%,5.8%,2.2%,12.3%,1.0%,0.4%,,73.2%,6.2%,13.3%,2.4%,2.5%,2.5%,,38.4%,43.2%,4.2%,5.2%,0.1%,2.2%,0.2%,1.1%,5.4%,,27.7%,35.5%,20.0%,15.1%,1.8%
Aldridge-Brownhills,"93,600","39,200",,17.8%,9.0%,11.5%,17.8%,21.2%,22.8%,,93.7%,0.4%,1.5%,0.8%,3.1%,0.4%,0.1%,,83.2%,2.2%,8.7%,2.1%,2.4%,1.5%,,31.9%,53.6%,0.2%,1.3%,0.0%,2.2%,5.2%,0.5%,5.0%,,42.0%,33.2%,10.7%,13.4%,0.7%
Altrincham and Sale West,"101,000","40,700",,21.3%,8.2%,10.0%,21.9%,19.5%,19.0%,,85.4%,1.1%,3.1%,1.6%,7.7%,0.8%,0.3%,,75.2%,5.4%,12.1%,1.6%,3.2%,2.5%,,31.7%,50.5%,0.5%,3.0%,2.1%,6.4%,0.4%,0.4%,5.0%,,37.7%,36.4%,13.8%,11.4%,0.6%
Alyn and Deeside,"102,000","43,800",,18.2%,9.0%,13.0%,19.1%,20.9%,19.8%,,92.2%,0.3%,5.7%,0.5%,1.0%,0.3%,0.1%,,91.7%,5.6%,1.1%,0.2%,1.0%,0.4%,,41.1%,51.0%,0.3%,0.3%,0.0%,0.6%,0.0%,0.3%,6.6%,,36.2%,34.5%,13.8%,15.0%,0.5%
Amber Valley,"90,300","40,400",,17.0%,8.7%,12.5%,17.9%,22.0%,22.0%,,96.4%,0.2%,2.0%,0.3%,0.6%,0.3%,0.1%,,95.4%,2.2%,0.8%,0.3%,1.1%,0.2%,,49.0%,43.9%,0.2%,0.1%,0.0%,0.2%,0.2%,0.5%,5.8%,,39.2%,30.7%,14.8%,14.7%,0.6%
Arundel and South Downs,"97,200","42,300",,15.9%,7.5%,8.2%,16.1%,23.5%,28.9%,,91.9%,0.5%,3.1%,1.5%,1.4%,1.0%,0.5%,,92.4%,4.4%,1.0%,0.3%,1.5%,0.4%,,38.2%,54.2%,0.4%,0.2%,0.2%,0.3%,0.0%,0.5%,6.1%,,44.3%,28.6%,14.3%,11.7%,1.0%
Ashfield,"95,000","40,900",,18.5%,9.2%,12.8%,18.3%,21.1%,20.0%,,94.0%,0.1%,3.7%,0.7%,1.1%,0.3%,0.1%,,92.0%,3.7%,1.5%,1.0%,1.4%,0.4%,,50.2%,42.1%,0.2%,0.3%,0.0%,0.6%,0.2%,0.4%,5.9%,,35.9%,31.1%,16.9%,15.4%,0.6%
Ashford,"107,000","42,400",,20.5%,9.6%,13.8%,19.8%,19.3%,17.0%,,84.8%,0.4%,5.0%,2.4%,6.4%,0.7%,0.2%,,80.4%,5.7%,7.0%,3.0%,2.4%,1.7%,,41.8%,45.5%,1.2%,2.5%,0.1%,1.9%,0.1%,1.4%,5.5%,,30.2%,34.5%,19.3%,14.1%,1.8%
Ashton-under-Lyne,"100,000","42,200",,20.6%,9.8%,14.1%,19.4%,19.8%,16.3%,,85.4%,0.4%,4.2%,2.7%,6.8%,0.3%,0.1%,,75.5%,3.9%,13.6%,3.3%,2.4%,1.2%,,35.0%,46.7%,0.2%,2.4%,0.0%,10.6%,0.1%,0.4%,4.5%,,29.1%,28.4%,19.6%,22.5%,0.4%
Aylesbury,"109,000","44,200",,20.5%,9.2%,13.8%,21.4%,19.4%,15.6%,,81.8%,0.6%,6.7%,2.8%,6.6%,1.2%,0.3%,,70.5%,7.9%,12.9%,3.6%,3.5%,1.5%,,35.6%,45.7%,0.5%,2.6%,0.2%,8.7%,0.3%,0.5%,5.9%,,30.2%,36.1%,16.5%,15.4%,1.8%
