2019 MP + Result,Constituency + Forecast,,,Code,Region,,CON,LAB,LDM,RFM,GRN,SNP,PLC,OTH,Tot,,Maj,Maj,,21.0%,40.9%,11.5%,15.9%,6.1%,3.5%,1.1%,,Result,,GE2019 RESULTS,,,,,,,,Tot,Vote Share Change,,,,,,,
,,,,,,,81,453,69,3,4,17,4,1,633,,%,Abs,,6.6m,12.8m,3.6m,5.0m,1.9m,1.1m,0.3m,,,,372,200,8,0,1,48,2,0,632,,,,,,,,
Leo Docherty,CON,LAB,Aldershot,E14001063,South East,,27.6%,34.6%,14.1%,16.8%,6.3%,,,0.5%,LAB,,7.0%,"3,634",,"14,304","17,938","7,317","8,715","3,272",0,271,,LAB GAIN,,56.8%,22.1%,17.5%,0.0%,3.6%,0.0%,0.0%,0.0%,CON,-29.6%,+12.6%,-2.8%,+16.4%,+2.9%,,,+0.5%
Wendy Morton,CON,CON,Aldridge-Brownhills,E14001064,West Midlands,,39.3%,32.4%,5.0%,19.2%,3.8%,,,0.3%,CON,,6.9%,"3,254",,"18,600","15,346","2,382","9,067","1,794",0,120,,CON HOLD,,69.6%,21.5%,5.6%,0.7%,1.8%,0.0%,0.0%,0.7%,CON,-30.3%,+10.9%,-0.4%,+17.9%,+2.3%,,,-0.5%
Graham Brady,CON,LAB,Altrincham and Sale West,E14001065,North West,,21.4%,48.9%,8.2%,15.0%,5.9%,,,0.6%,LAB,,27.5%,"15,113",,"11,702","26,815","4,483","8,238","3,238",0,309,,LAB GAIN,,48.1%,36.8%,11.0%,0.0%,2.9%,0.0%,0.0%,1.2%,CON,-26.7%,+11.7%,-2.2%,+14.6%,+3.2%,,,-0.7%
Nigel Mills,CON,LAB,Amber Valley,E14001066,East Midlands,,29.2%,36.8%,4.6%,23.9%,5.4%,,,0.1%,LAB,,7.6%,"3,482",,"13,311","16,793","2,094","10,911","2,461",0,54,,LAB GAIN,,63.8%,26.8%,6.3%,0.0%,3.1%,0.0%,0.0%,0.0%,CON,-34.8%,+10.3%,-1.5%,+23.3%,+2.5%,,,+0.1%
Andrew Griffith,CON,CON,Arundel and South Downs,E14001067,South East,,30.6%,21.1%,20.0%,21.1%,6.8%,,,0.5%,CON,,9.5%,"5,480",,"17,767","12,287","11,599","12,269","3,923",0,270,,CON HOLD,,60.4%,15.7%,19.0%,0.0%,4.0%,0.0%,0.0%,1.0%,CON,-30.2%,+5.4%,+1.6%,+20.8%,+2.8%,,,-0.5%
Lee Anderson,CON,RFM,Ashfield,E14001068,East Midlands,,9.1%,29.8%,3.8%,34.4%,3.8%,,,19.1%,RFM,,4.6%,"1,983",,"3,896","12,796","1,613","14,779","1,649",0,"8,206",,RFM GAIN,,39.2%,25.6%,2.1%,5.0%,1.3%,0.0%,0.0%,26.9%,CON,-30.4%,+3.9%,+1.8%,+29.0%,+2.7%,,,-7.0%
Damian Green,CON,LAB,Ashford,E14001069,South East,,27.2%,35.5%,7.8%,20.7%,8.1%,,,0.6%,LAB,,8.3%,"4,031",,"13,247","17,278","3,790","10,084","3,926",0,288,,LAB GAIN,,59.2%,23.8%,10.7%,0.0%,4.6%,0.0%,0.0%,1.8%,CON,-32.2%,+12.1%,-2.5%,+20.2%,+3.6%,,,-1.2%
Angela Rayner,LAB,LAB,Ashton-under-Lyne,E14001070,North West,,10.6%,54.7%,3.7%,23.0%,7.0%,,,0.9%,LAB,,31.7%,"13,086",,"4,399","22,603","1,541","9,517","2,896",0,387,,LAB HOLD,,36.2%,47.5%,4.3%,8.5%,3.5%,0.0%,0.0%,0.0%,LAB,-25.7%,+7.3%,-0.3%,+14.0%,+3.8%,,,+0.9%
Rob Butler,CON,LAB,Aylesbury,E14001071,South East,,24.0%,33.8%,19.8%,16.0%,5.8%,,,0.6%,LAB,,9.8%,"5,647",,"13,883","19,530","11,482","9,259","3,373",0,335,,LAB GAIN,,51.7%,23.0%,21.9%,0.5%,2.9%,0.0%,0.0%,0.0%,CON,-28.1%,+10.9%,-1.5%,+15.0%,+3.0%,,,+0.6%
