Constituency,con,lab,ld,ref,grn,snp,pc,other,winner,maj,,Left,Right
Aberafan Maesteg,10,51,5,17,4,,10,3,lab,34,,70,27
Aberdeen North,12,26,8,9,4,37,,4,snp,11,,75,21
Aberdeen South,17,24,10,8,4,33,,3,snp,9,,71,25
Aberdeenshire North and Moray East,30,19,7,11,,33,,0,snp,3,,59,41
Airdrie and Shotts,7,44,5,8,,33,,3,lab,11,,82,15
Aldershot,30,33,13,16,5,,,3,lab,3,,51,46
Aldridge-Brownhills,35,33,6,21,4,,,0,con,2,,43,56
Alloa and Grangemouth,13,29,7,9,4,35,,4,snp,6,,75,22
Altrincham and Sale West,26,43,10,13,5,,,3,lab,17,,58,39
Alyn and Deeside,20,44,7,17,3,,6,3,lab,24,,60,37
Amber Valley,30,38,6,21,5,,,,lab,8,,49,51
Angus and Perthshire Glens,23,20,7,9,,38,,3,snp,15,,65,32
Arbroath and Broughty Ferry,14,27,8,8,,39,,4,snp,12,,74,22
"Argyll, Bute and South Lochaber",20,21,13,9,,34,,3,snp,13,,68,29
Arundel and South Downs,33,22,18,16,9,,,2,con,11,,49,49
Ashfield,15,32,5,27,4,,,17,lab,5,,41,42
Ashford,29,34,9,18,7,,,3,lab,5,,50,47
Ashton-under-Lyne,15,52,5,20,5,,,3,lab,32,,62,35
Aylesbury,28,30,19,15,,,,,lab,2,,49,43
"Ayr, Carrick and Cumnock",20,29,6,9,3,30,,3,snp,1,,68,29
Banbury,28,33,15,15,7,,,3,lab,5,,55,43
Bangor Aberconwy,19,39,6,14,3,,16,2,lab,20,,64,33
Barking,12,56,6,16,6,,,4,lab,40,,68,28
Barnsley North,9,45,6,30,6,,,4,lab,15,,57,39
Barnsley South,10,46,6,30,4,,,3,lab,16,,56,40
Barrow and Furness,26,45,5,17,4,,,3,lab,19,,54,43
Basildon and Billericay,33,31,7,21,5,,,3,con,2,,43,54
Basingstoke,27,39,10,15,6,,,3,lab,12,,55,42
Bassetlaw,27,40,6,25,3,,,,lab,13,,49,52
Bath,13,16,52,11,5,,,3,ld,36,,73,24
Bathgate and Linlithgow,11,34,8,9,4,31,,4,lab,3,,77,20
Battersea,19,52,10,9,7,,,4,lab,33,,69,28
Beaconsfield,35,23,13,19,6,,,4,con,12,,42,54
Beckenham and Penge,21,47,12,13,7,,,,lab,26,,66,34
Bedford,21,47,9,14,6,,,3,lab,26,,62,35
Bermondsey and Old Southwark,9,46,25,10,6,,,4,lab,21,,77,19
"Berwickshire, Roxburgh and Selkirk",31,19,8,9,3,27,,3,con,4,,57,40
Bethnal Green and Stepney,6,62,8,9,9,,,6,lab,53,,79,15
Beverley and Holderness,32,33,9,18,4,,,4,lab,1,,46,50
Bexhill and Battle,32,30,11,18,6,,,3,con,2,,47,50
Bexleyheath and Crayford,32,38,7,19,4,,,,lab,6,,49,51
Bicester and Woodstock,28,24,27,13,5,,,3,con,1,,56,41
Birkenhead,7,58,6,16,9,,,4,lab,42,,73,23
Birmingham Edgbaston,17,53,7,14,6,,,3,lab,36,,66,31
Birmingham Erdington,19,52,5,17,4,,,3,lab,33,,61,36
Birmingham Hall Green and Moseley,7,59,8,13,7,,,6,lab,46,,74,20
Birmingham Hodge Hill and Solihull North,12,55,6,15,7,,,5,lab,40,,68,27
Birmingham Ladywood,5,64,6,10,8,,,7,lab,54,,78,15
Birmingham Northfield,22,48,6,17,5,,,3,lab,26,,59,39
Birmingham Perry Barr,10,60,6,12,6,,,5,lab,48,,72,22
Birmingham Selly Oak,13,55,6,13,8,,,3,lab,42,,69,26
Birmingham Yardley,12,52,9,17,5,,,5,lab,35,,66,29
Bishop Auckland,25,43,5,20,4,,,3,lab,18,,52,45
Blackburn,11,58,5,16,5,,,6,lab,42,,68,27
Blackley and Middleton South,12,59,5,18,5,,,,lab,41,,69,30
Blackpool North and Fleetwood,27,42,5,20,4,,,3,lab,15,,51,47
Blackpool South,22,44,5,22,4,,,3,lab,22,,53,44
Blaenau Gwent and Rhymney,13,59,6,,4,,12,5,lab,46,,81,13
Blaydon and Consett,15,49,6,22,5,,,4,lab,27,,60,37
Blyth and Ashington,16,53,6,21,5,,,,lab,32,,64,37
Bognor Regis and Littlehampton,32,31,10,19,5,,,3,con,1,,46,51
Bolsover,22,45,5,24,4,,,,lab,21,,54,46
Bolton North East,23,47,5,18,4,,,3,lab,24,,56,41
Bolton South and Walkden,14,54,5,17,6,,,4,lab,37,,65,31
Bolton West,27,43,6,18,4,,,3,lab,16,,53,45
Bootle,4,70,5,13,6,,,3,lab,57,,81,17
Boston and Skegness,37,25,6,27,3,,,3,con,10,,34,64
Bournemouth East,25,40,10,16,7,,,3,lab,15,,57,41
Bournemouth West,25,38,10,17,7,,,3,lab,13,,55,42
Bracknell,30,35,11,17,5,,,3,lab,5,,51,47
Bradford East,10,55,8,15,7,,,5,lab,40,,70,25
Bradford South,18,48,5,19,6,,,4,lab,29,,59,37
Bradford West,7,63,5,12,7,,,6,lab,51,,75,19
Braintree,35,30,8,19,3,,,4,con,5,,41,54
"Brecon, Radnor and Cwm Tawe",26,22,23,15,3,,9,3,con,3,,57,41
Brent East,12,58,9,10,8,,,4,lab,46,,75,22
Brent West,19,52,8,11,6,,,3,lab,33,,66,30
