constituency,2019_winner,2024_winner
Aberafan Maesteg,lab,lab
Aberdeen North,snp,snp
Aberdeen South,snp,snp
Aberdeenshire North and Moray East,con,snp
Airdrie and Shotts,snp,lab
Aldershot,con,lab
Aldridge-Brownhills,con,con
Alloa and Grangemouth,snp,lab
Altrincham and Sale West,con,lab
Alyn and Deeside,lab,lab
Amber Valley,con,lab
Angus and Perthshire Glens,snp,snp
Arbroath and Broughty Ferry,snp,snp
"Argyll, Bute and South Lochaber",snp,snp
Arundel and South Downs,con,con
Ashfield,con,ref
Ashford,con,lab
Ashton-under-Lyne,lab,lab
Aylesbury,con,lab
"Ayr, Carrick and Cumnock",snp,lab
Banbury,con,lab
Bangor Aberconwy,con,lab
Barking,lab,lab
Barnsley North,lab,lab
Barnsley South,lab,lab
Barrow and Furness,con,lab
Basildon and Billericay,con,con
Basingstoke,con,lab
Bassetlaw,con,lab
Bath,ld,ld
Bathgate and Linlithgow,snp,lab
Battersea,lab,lab
Beaconsfield,con,con
Beckenham and Penge,lab,lab
Bedford,lab,lab
Bermondsey and Old Southwark,lab,lab
"Berwickshire, Roxburgh and Selkirk",con,con
Bethnal Green and Stepney,lab,lab
Beverley and Holderness,con,con
Bexhill and Battle,con,con
Bexleyheath and Crayford,con,con
Bicester and Woodstock,con,ld
Birkenhead,lab,lab
Birmingham Edgbaston,lab,lab
Birmingham Erdington,lab,lab
Birmingham Hall Green and Moseley,lab,lab
Birmingham Hodge Hill and Solihull North,lab,lab
Birmingham Ladywood,lab,lab
Birmingham Northfield,con,lab
Birmingham Perry Barr,lab,lab
Birmingham Selly Oak,lab,lab
Birmingham Yardley,lab,lab
Bishop Auckland,con,lab
Blackburn,lab,other
Blackley and Middleton South,lab,lab
Blackpool North and Fleetwood,con,lab
Blackpool South,con,lab
Blaenau Gwent and Rhymney,lab,lab
Blaydon and Consett,lab,lab
Blyth and Ashington,lab,lab
Bognor Regis and Littlehampton,con,con
Bolsover,con,lab
Bolton North East,con,lab
Bolton South and Walkden,lab,lab
Bolton West,con,lab
Bootle,lab,lab
Boston and Skegness,con,ref
Bournemouth East,con,lab
Bournemouth West,con,lab
Bracknell,con,lab
Bradford East,lab,lab
Bradford South,lab,lab
Bradford West,lab,lab
Braintree,con,con
"Brecon, Radnor and Cwm Tawe",con,ld
Brent East,lab,lab
Brent West,lab,lab
Brentford and Isleworth,lab,lab
Brentwood and Ongar,con,con
Bridgend,con,lab
Bridgwater,con,con
Bridlington and The Wolds,con,con
Brigg and Immingham,con,con
Brighton Kemptown and Peacehaven,lab,lab
Brighton Pavilion,grn,grn
Bristol Central,lab,grn
Bristol East,lab,lab
Bristol North East,lab,lab
Bristol North West,lab,lab
Bristol South,lab,lab
Broadland and Fakenham,con,con
Bromley and Biggin Hill,con,con
Bromsgrove,con,con
Broxbourne,con,con
Broxtowe,con,lab
Buckingham and Bletchley,con,lab
Burnley,con,lab
Burton and Uttoxeter,con,lab
Bury North,con,lab
Bury South,con,lab
Bury St Edmunds and Stowmarket,con,lab
Caerfyrddin,con,pc
Caerphilly,lab,lab
"Caithness, Sutherland and Easter Ross",snp,ld
Calder Valley,con,lab
Camborne and Redruth,con,lab
Cambridge,lab,lab
Cannock Chase,con,lab
Canterbury,lab,lab
Cardiff East,lab,lab
Cardiff North,lab,lab
Cardiff South and Penarth,lab,lab
Cardiff West,lab,lab
Carlisle,con,lab
Carshalton and Wallington,con,ld
Castle Point,con,con
Central Ayrshire,snp,lab
Central Devon,con,con
Central Suffolk and North Ipswich,con,con
Ceredigion Preseli,pc,pc
Chatham and Aylesford,con,lab
Cheadle,con,ld
Chelmsford,con,ld
Chelsea and Fulham,con,lab
Cheltenham,con,ld
Chesham and Amersham,con,ld
Chester North and Neston,lab,lab
Chester South and Eddisbury,con,con
Chesterfield,lab,lab
Chichester,con,ld
Chingford and Woodford Green,con,con
Chippenham,con,ld
Chipping Barnet,con,lab
Chorley,other,other
Christchurch,con,con
Cities of London and Westminster,con,lab
City of Durham,lab,lab
Clacton,con,ref
Clapham and Brixton Hill,lab,lab
Clwyd East,con,lab
Clwyd North,con,lab
Coatbridge and Bellshill,snp,lab
Colchester,con,lab
Colne Valley,con,lab
Congleton,con,lab
Corby and East Northamptonshire,con,lab
Coventry East,lab,lab
Coventry North West,lab,lab
Coventry South,lab,lab
Cowdenbeath and Kirkcaldy,snp,lab
Cramlington and Killingworth,lab,lab
Crawley,con,lab
Crewe and Nantwich,con,lab
Croydon East,lab,lab
Croydon South,con,con
Croydon West,lab,lab
Cumbernauld and Kirkintilloch,snp,lab
Dagenham and Rainham,lab,lab
Darlington,con,lab
Dartford,con,lab
Daventry,con,con
Derby North,con,lab
Derby South,lab,lab
Derbyshire Dales,con,lab
Dewsbury and Batley,lab,other
Didcot and Wantage,con,ld
Doncaster Central,lab,lab
Doncaster East and the Isle of Axholme,con,lab
Doncaster North,lab,lab
Dorking and Horley,con,ld
Dover and Deal,con,lab
Droitwich and Evesham,con,con
Dudley,con,lab
Dulwich and West Norwood,lab,lab
Dumfries and Galloway,con,con
"Dumfriesshire, Clydesdale and Tweeddale",con,con
Dundee Central,snp,snp
Dunfermline and Dollar,snp,lab
Dunstable and Leighton Buzzard,con,lab
Dwyfor Meirionnydd,pc,pc
Ealing Central and Acton,lab,lab
Ealing North,lab,lab
Ealing Southall,lab,lab
Earley and Woodley,con,lab
Easington,lab,lab
East Grinstead and Uckfield,con,con
East Ham,lab,lab
East Hampshire,con,con
East Kilbride and Strathaven,snp,lab
East Renfrewshire,snp,lab
East Surrey,con,con
East Thanet,con,lab
East Wiltshire,con,con
East Worthing and Shoreham,con,lab
Eastbourne,con,ld
Eastleigh,con,ld
Edinburgh East and Musselburgh,snp,lab
Edinburgh North and Leith,snp,lab
Edinburgh South,lab,lab
Edinburgh South West,snp,lab
Edinburgh West,ld,ld
Edmonton and Winchmore Hill,lab,lab
Ellesmere Port and Bromborough,lab,lab
Eltham and Chislehurst,con,lab
Ely and East Cambridgeshire,con,ld
Enfield North,lab,lab
Epping Forest,con,con
Epsom and Ewell,con,ld
Erewash,con,lab
Erith and Thamesmead,lab,lab
Esher and Walton,con,ld
Exeter,lab,lab
Exmouth and Exeter East,con,con
Falkirk,snp,lab
Fareham and Waterlooville,con,con
Farnham and Bordon,con,con
Faversham and Mid Kent,con,con
Feltham and Heston,lab,lab
Filton and Bradley Stoke,con,lab
Finchley and Golders Green,con,lab
Folkestone and Hythe,con,lab
Forest of Dean,con,lab
Frome and East Somerset,con,ld
Fylde,con,con
Gainsborough,con,con
Gateshead Central and Whickham,lab,lab
Gedling,con,lab
Gillingham and Rainham,con,lab
Glasgow East,snp,lab
Glasgow North,snp,lab
Glasgow North East,snp,lab
Glasgow South,snp,lab
Glasgow South West,snp,lab
Glasgow West,snp,lab
Glastonbury and Somerton,con,ld
Glenrothes and Mid Fife,snp,lab
Gloucester,con,lab
Godalming and Ash,con,con
Goole and Pocklington,con,con
Gordon and Buchan,con,con
Gorton and Denton,lab,lab
Gosport,con,con
Gower,lab,lab
Grantham and Bourne,con,con
Gravesham,con,lab
Great Grimsby and Cleethorpes,con,lab
Great Yarmouth,con,ref
Greenwich and Woolwich,lab,lab
Guildford,con,ld
Hackney North and Stoke Newington,lab,lab
Hackney South and Shoreditch,lab,lab
Halesowen,con,lab
Halifax,lab,lab
Hamble Valley,con,con
Hamilton and Clyde Valley,snp,lab
Hammersmith and Chiswick,lab,lab
Hampstead and Highgate,lab,lab
"Harborough, Oadby and Wigston",con,con
Harlow,con,lab
Harpenden and Berkhamsted,con,ld
Harrogate and Knaresborough,con,ld
Harrow East,con,con
Harrow West,lab,lab
Hartlepool,lab,lab
Harwich and North Essex,con,con
Hastings and Rye,con,lab
Havant,con,con
Hayes and Harlington,lab,lab
Hazel Grove,con,ld
Hemel Hempstead,con,lab
Hendon,con,lab
Henley and Thame,con,ld
Hereford and South Herefordshire,con,con
Herne Bay and Sandwich,con,con
Hertford and Stortford,con,lab
Hertsmere,con,con
Hexham,con,lab
Heywood and Middleton North,lab,lab
High Peak,con,lab
Hinckley and Bosworth,con,con
