PCON24CD,Seat,Region,mean_Con,mean_Lab,mean_LDem,mean_Green,mean_Reform,mean_Plaid,mean_SNP,mean_Other,lo_Con,lo_Lab,lo_LDem,lo_Green,lo_Reform,lo_Plaid,lo_SNP,lo_Other,hi_Con,hi_Lab,hi_LDem,hi_Green,hi_Reform,hi_Plaid,hi_SNP,hi_Other
E14001063,Aldershot,South East, 32.90 , 36.29 , 10.16 , 3.65 , 15.04 , -   , -   , 1.96 , 26.60 , 26.12 , 3.81 , 0.62 , 7.61 , -   , -   , 0.36 , 39.80 , 46.55 , 19.21 , 10.61 , 23.94 , -   , -   , 5.29 
E14001064,Aldridge-Brownhills,West Midlands, 34.22 , 45.13 , 5.35 , 2.20 , 13.10 , -   , -   , -   , 26.08 , 35.25 , 1.67 , 0.28 , 5.91 , -   , -   , -   , 42.29 , 55.16 , 13.01 , 7.13 , 23.88 , -   , -   , -   
E14001065,Altrincham and Sale West,North West, 26.66 , 48.53 , 12.54 , 1.79 , 9.00 , -   , -   , 1.48 , 21.01 , 39.60 , 5.73 , 0.27 , 4.15 , -   , -   , 0.32 , 32.67 , 57.09 , 22.89 , 5.17 , 16.50 , -   , -   , 4.23 
E14001066,Amber Valley,East Midlands, 28.02 , 48.99 , 3.38 , 5.93 , 13.68 , -   , -   , -   , 21.77 , 39.87 , 0.99 , 1.27 , 6.79 , -   , -   , -   , 34.59 , 58.43 , 8.14 , 14.86 , 23.38 , -   , -   , -   
E14001067,Arundel and South Downs,South East, 30.80 , 28.79 , 17.49 , 11.93 , 9.41 , -   , -   , 1.58 , 23.07 , 19.92 , 7.06 , 3.49 , 4.08 , -   , -   , 0.22 , 38.82 , 39.24 , 30.76 , 25.94 , 17.57 , -   , -   , 5.38 
E14001068,Ashfield,East Midlands, 15.08 , 31.50 , 7.08 , 3.96 , 27.72 , -   , -   , 14.65 , 10.34 , 22.13 , 2.11 , 0.95 , 16.23 , -   , -   , 5.53 , 21.21 , 41.51 , 15.32 , 9.47 , 40.87 , -   , -   , 27.90 
E14001069,Ashford,South East, 29.17 , 39.28 , 7.94 , 7.00 , 14.96 , -   , -   , 1.65 , 22.25 , 30.51 , 3.13 , 2.53 , 8.14 , -   , -   , 0.33 , 36.24 , 48.71 , 15.69 , 13.95 , 24.70 , -   , -   , 4.69 
E14001070,Ashton-under-Lyne,North West, 15.43 , 56.82 , 3.17 , 3.49 , 14.87 , -   , -   , 6.22 , 11.55 , 45.73 , 0.71 , 0.75 , 8.16 , -   , -   , 1.75 , 19.67 , 65.56 , 8.03 , 8.50 , 23.70 , -   , -   , 14.69 
E14001071,Aylesbury,South East, 27.23 , 28.93 , 23.84 , 3.78 , 15.04 , -   , -   , 1.18 , 20.61 , 20.71 , 13.79 , 1.19 , 8.33 , -   , -   , 0.23 , 33.88 , 38.00 , 35.36 , 8.54 , 22.78 , -   , -   , 3.42 
E14001072,Banbury,South East, 27.80 , 31.20 , 17.62 , 8.89 , 13.32 , -   , -   , 1.17 , 21.53 , 22.80 , 8.88 , 2.91 , 6.50 , -   , -   , 0.24 , 34.72 , 40.49 , 30.07 , 18.44 , 23.01 , -   , -   , 3.19 
E14001073,Barking,London, 12.98 , 58.84 , 5.29 , 4.23 , 10.38 , -   , -   , 8.28 , 9.71 , 47.53 , 1.60 , 0.97 , 4.71 , -   , -   , 2.43 , 16.77 , 69.30 , 11.80 , 10.59 , 18.07 , -   , -   , 19.04 
E14001074,Barnsley North,Yorkshire and The Humber, 7.18 , 53.02 , 4.53 , 11.21 , 20.42 , -   , -   , 3.63 , 4.59 , 41.16 , 0.96 , 3.40 , 11.17 , -   , -   , 0.68 , 10.46 , 64.72 , 12.51 , 23.29 , 32.41 , -   , -   , 9.83 
E14001075,Barnsley South,Yorkshire and The Humber, 9.13 , 45.22 , 9.08 , 3.55 , 29.56 , -   , -   , 3.46 , 6.37 , 32.85 , 2.75 , 0.57 , 17.72 , -   , -   , 0.65 , 12.79 , 56.81 , 19.32 , 10.32 , 43.83 , -   , -   , 9.43 
E14001076,Barrow and Furness,North West, 25.79 , 53.23 , 1.88 , 1.73 , 15.57 , -   , -   , 1.80 , 20.06 , 44.13 , 0.41 , 0.21 , 7.95 , -   , -   , 0.36 , 31.63 , 62.22 , 5.25 , 5.27 , 26.40 , -   , -   , 5.00 
E14001077,Basildon and Billericay,East of England, 33.11 , 36.56 , 5.92 , 2.35 , 17.88 , -   , -   , 4.18 , 25.44 , 27.86 , 1.73 , 0.38 , 9.28 , -   , -   , 1.06 , 40.54 , 45.24 , 13.55 , 6.77 , 30.31 , -   , -   , 10.10 
E14001078,Basingstoke,South East, 30.95 , 45.24 , 7.96 , 5.46 , 7.96 , -   , -   , 2.43 , 25.33 , 36.53 , 3.38 , 1.38 , 3.99 , -   , -   , 0.52 , 36.76 , 54.07 , 15.94 , 12.95 , 13.55 , -   , -   , 6.13 
E14001079,Bassetlaw,East Midlands, 24.49 , 49.52 , 4.82 , 0.01 , 21.16 , -   , -   , -   , 17.62 , 39.40 , 1.27 , -   , 12.50 , -   , -   , -   , 31.25 , 59.69 , 11.12 , 0.03 , 33.23 , -   , -   , -   
E14001080,Bath,South West, 14.98 , 15.85 , 56.80 , 4.93 , 6.44 , -   , -   , 1.00 , 9.70 , 9.17 , 41.37 , 0.71 , 2.76 , -   , -   , 0.16 , 20.77 , 24.12 , 70.31 , 14.60 , 11.99 , -   , -   , 3.41 
E14001081,Battersea,London, 27.98 , 49.62 , 8.66 , 2.64 , 8.44 , -   , -   , 2.65 , 21.77 , 40.09 , 2.91 , 0.33 , 3.88 , -   , -   , 0.41 , 35.10 , 59.89 , 17.81 , 8.16 , 16.10 , -   , -   , 8.13 
E14001082,Beaconsfield,South East, 38.80 , 23.82 , 6.97 , 4.81 , 21.22 , -   , -   , 4.39 , 29.33 , 15.84 , 2.09 , 1.39 , 11.02 , -   , -   , 0.70 , 49.26 , 33.46 , 16.17 , 11.14 , 33.87 , -   , -   , 11.72 
